ID,GUZERGAH_A,GUZERGAH_K,HAT_ADI,HAT_KODU,DEPAR_NO,DURUM,UZUNLUK,HAT_BASI,HAT_SONU,YON,HAT_ID,SURE,RING_MI,B_NOKTASI,latitude,longitude
55323,4.LEVENT METRO  -  AYAZAĞA,41A_D_D0,AYAZAĞA - 4. LEVENT METRO,41A,0,AKTİF,726429.0,AYAZAĞA,4.LEVENT METRO,DÖNÜŞ,846,104332.0,HAYIR,0,41.10033601972576,29.00085809844562
301,DENİZ HARP OKULU  -  KARTAL KÖPRÜSÜ,130E_G_D1815,TUZLA / EVORA KONUTLARI - KARTAL METRO / CEVİZLİ,130E,1815,AKTİF,2673656.0000000005,DENİZ HARP OKULU,CEVİZLİ PERONLAR,GİDİŞ,883,385167.00000000006,HAYIR,0,40.85488154374124,29.28893691191405
55324,NECİP FAZIL METRO  -  YENİDOĞAN PERONLAR,11G_D_D2346,YENİDOĞAN - NECİP FAZIL METRO,11G,2346,AKTİF,1313201.0,YENİDOĞAN PERONLAR,NECİP FAZIL METRO,DÖNÜŞ,137,168851.0,HAYIR,0,41.01671303329668,29.229132001800643
55424,NAMIK KEMAL - FABRİKALAR,TM9_D_D3121,YENİMAHALLE - K.KARABEKİR - ALİBEYKÖY,TM9,3121,AKTİF,1940461.0,GOP YENİ MAHALLE METRO,ALİBEYKÖY METRO,DÖNÜŞ,3630,281677.0,EVET,300861,41.08016746022284,28.919509368184308
55493,SULTANİYE -  BEYKOZ,136Z_G_D3715,ALİ BAHADIR / ZERZEVAT - SULTANİYE,136Z,3715,AKTİF,329495.00000000006,ALİBAHADIR,SULTANİYE,GİDİŞ,869,4783.0,EVET,219592,41.12789482351801,29.09574386112365
24002,15 TEMMUZ MAHALLESİ AİLE SAĞLIĞI MERKEZİ -  ZEYTİNBURNU,97_G_D6052,15 TEMMUZ MAHALLESİ - AKSARAY,97,6052,AKTİF,2579739.0,15 TEMMUZ MAHALLESİ AİLE SAĞLIĞI MERKEZİ,AKSARAY RİNG,GİDİŞ,566,37448.0,EVET,308211,41.0102343639106,28.850225786700417
24211,ÇİFTEÇINARLAR  -  ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,20_G_D6208,ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,20,6208,AKTİF,3365626.0,ÇİFTEÇINARLAR,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,GİDİŞ,672,488559.00000000006,HAYIR,0,41.07930335071203,29.11944223891248
24212,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ - ÇİFTEÇINARLAR,20_D_D6209,ORTAÇEŞME / KAVACIK - Ü.EĞT.ARŞ.HASTANESİ,20,6209,AKTİF,3765587.0,ÇİFTEÇINARLAR,ÜMRANİYE EĞİTİM VE ARAŞTIRMA HASTANESİ,DÖNÜŞ,672,54662.0,HAYIR,0,41.07292043776929,29.117230892921764
54011,MİLLİ EĞİTİM VAKFI -  PENDİK KÖPRÜSÜ,KM11_G_D3487,AYDINLI TOKİ / A.YESEVİ - PENDİK KÖPRÜSÜ,KM11,3487,AKTİF,1634378.0,AYDINLI TOKİ PERONLAR,PENDİK KÖPRÜSÜ,GİDİŞ,615,237249.0,EVET,227813,40.87366325717455,29.26941042442444
55409,ALİBEYKÖY METRO  -  HAMİDİYE MAHALLESİ,TM3_D_D0,HAMİDİYE - KAĞITHANE - ALİBEYKÖY,TM3,0,AKTİF,962268.0,HAMİDİYE MAHALLESİ,ALİBEYKÖY METRO,DÖNÜŞ,3610,139684.0,HAYIR,0,41.07958354929465,28.96455595219486
