ID,ADI,DURAK_KODU,DURUMU,DURAK_TIPI,YON_BILGIS,SON_GUNCEL,YAPILIS_TA,ILCEID,MAHALLEID,VERSIYON,CEP_VAR,latitude,longitude
511051,TUNA MAHALLESİ,123831,1,CCMODERN,AKSARAY,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40351,"2,01807E+14",2.0,41.0537320005622,28.8594289999853
292412,ESENYURT DEVLET HASTANESİ,127851,1,CCMODERNDR,ÖRNEK MAH.-H.DERE,01.04.2020 00:00:00,02.01.2016 00:00:00,2053,40864,"2,02004E+14",1.0,41.029648000558,28.6680189999741
509914,AŞIK VEYSEL CADDESİ,125972,1,İETTBAYRAK,SEFAKÖY M.AKİF MH.,01.01.1976 00:00:00,02.01.2016 00:00:00,1823,40586,"2,01807E+14",2.0,41.0576040054245,28.803988029964
509915,MEHMET AKİF MAHALLESİ,125981,1,İSTON GENİŞ,TOPKAPI,18.10.2021 00:00:00,02.01.2016 00:00:00,1823,40586,"2,0211E+14",0.0,41.0602460005632,28.8037319999828
509918,1.ETAP KONUTLARI,126012,1,CCMODERN,İKİTELLİ KÖPRÜSÜ,01.01.1976 00:00:00,02.01.2016 00:00:00,1823,40582,"2,01807E+14",2.0,41.0478500005612,28.7995659999827
510947,SULTAN ABDÜLHAMİD HASTANESİ,261031,1,İETTBAYRAK,AYRILIKÇEŞME,17.03.2021 00:00:00,02.01.2016 00:00:00,1708,40820,"2,02103E+14",0.0,41.0005170005539,29.0240209999901
510550,UZUNÇAYIR METROBÜS,-103,1,CCMODERN,TUZLA,01.01.1976 00:00:00,01.01.1976 00:00:00,1421,40518,"2,01802E+14",2.0,40.9977039906869,29.0575609661947
578356,OSMANBEY,124791,1,IETTCAMLI,GÜNGÖREN,01.01.1976 00:00:00,02.01.2016 00:00:00,2010,40496,"2,01807E+14",2.0,41.0245830005576,28.875301999986
578357,OSMANBEY,124792,1,İETTBAYRAK,DAVUTPAŞA,01.01.1976 00:00:00,02.01.2016 00:00:00,2010,40496,"2,01807E+14",2.0,41.0244680005576,28.875204999986
511217,YAYLA MAHALLESİ,108541,1,CCMODERN,EDİRNEKAPI,01.01.1976 00:00:00,02.01.2016 00:00:00,2055,40377,"2,01807E+14",2.0,41.1465200005771,28.8570849999849
509796,YEŞİL CAMİİ,124091,1,AÇIK DURAK,AKSARAY,09.04.2020 00:00:00,02.01.2016 00:00:00,1823,40587,"2,02004E+14",0.0,41.0179560005564,28.7863529999821
511052,MEHMET AKİF ERSOY CADDESİ,123841,1,CCMODERN,AKSARAY,01.04.2020 00:00:00,02.01.2016 00:00:00,2016,40348,"2,02004E+14",0.0,41.0525940005621,28.8665549999855
511054,BİRLİK MAHALLESİ,123852,1,CCMODERN,İSTOÇ,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40348,"2,01807E+14",2.0,41.0513850005618,28.8716369999858
511056,KAZIM KARABEKİR MAHALLESİ,123862,1,AÇIK DURAK,AKSARAY 2,01.04.2020 00:00:00,02.01.2016 00:00:00,2016,40346,"2,02004E+14",0.0,41.0480940427251,28.8753310165465
511059,ESENLER SANAT EVİ,125601,1,CCMODERN,BAĞCILAR ESENLER,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40343,"2,01807E+14",1.0,41.0390150005599,28.878190999986
511060,YILDIZ TEKNİK ÜNİVERSİTESİ DAVUTPAŞA KAMPÜSÜ,125851,1,CCMODERN,SON DURAK,01.04.2020 00:00:00,02.01.2016 00:00:00,2016,40340,"2,02004E+14",0.0,41.0256150005578,28.8936799999866
511064,12.SOKAK,126941,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40345,"2,01807E+14",2.0,41.0414550005603,28.8820219999862
511068,KARABAYIR,127682,1,İSTON DAR,GİYİMKENT,28.06.2021 00:00:00,02.01.2016 00:00:00,2016,40348,"2,02106E+14",0.0,41.0481310005613,28.8661659999856
511069,KAZIM KARABEKİR İLKOKULU,127751,1,İETTBAYRAK,ESENLER - ÜÇYÜZLÜ,01.04.2020 00:00:00,02.01.2016 00:00:00,2016,40348,"2,02004E+14",0.0,41.0468780005612,28.8715639999858
511072,ATIŞALANI ANADOLU LİSESİ,127822,1,İETTBAYRAK,ESENLER METRO,04.05.2020 00:00:00,02.01.2016 00:00:00,2016,40354,"2,02005E+14",1.0,41.0550770005624,28.8756189999859
511073,GİYİMKENT,128531,1,İETTBAYRAK,SON DURAK,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40355,"2,01807E+14",2.0,41.0742120005655,28.8719789999857
511076,ÇAMLIK,130201,1,CCMODERNDR,ESENLER METRO,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40355,"2,01807E+14",2.0,41.0729020005653,28.8692359999856
511077,ÇAMLIK,130202,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40355,"2,01807E+14",2.0,41.0723660005652,28.8688149999856
511081,İKİZ KULELER,130222,1,İETTBAYRAK,GİYİMKENT,01.01.1976 00:00:00,02.01.2016 00:00:00,2016,40355,"2,01807E+14",2.0,41.0677260005645,28.8612259999853
